Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-05-19,ITO,236.33333333333334,5,2017,4,Spring,224.16666666666666,234.5416666666667,260.6498917748917
2017-05-20,ITO,247.45833333333334,5,2017,5,Spring,236.33333333333334,235.98611111111117,248.8452380952381
2017-05-21,ITO,401.23809523809524,5,2017,6,Spring,247.45833333333334,295.00992063492066,270.9030612244898
2017-05-22,ITO,227.83333333333334,5,2017,0,Spring,401.23809523809524,292.17658730158735,264.1709183673469
2017-05-23,ITO,272.6666666666667,5,2017,1,Spring,227.83333333333334,300.5793650793651,264.6887755102041
2017-05-24,ITO,215.54166666666666,5,2017,2,Spring,272.6666666666667,238.68055555555557,260.7482993197279
2017-05-25,ITO,296.625,5,2017,3,Spring,215.54166666666666,261.61111111111114,271.0994897959184
2017-05-26,ITO,284.27272727272725,5,2017,4,Spring,296.625,265.479797979798,277.9479746444032
2017-05-27,ITO,293.375,5,2017,5,Spring,284.27272727272725,291.42424242424244,284.507498453927
2017-05-28,ITO,261.25,5,2017,6,Spring,293.375,279.6325757575758,264.50919913419915
2017-05-29,ITO,259.875,5,2017,0,Spring,261.25,271.50000000000006,269.08658008658006
2017-05-30,ITO,279.4583333333333,5,2017,1,Spring,259.875,266.86111111111114,270.0568181818182
2017-05-31,ITO,199.625,5,2017,2,Spring,279.4583333333333,246.31944444444449,267.78300865800867
2017-06-01,ITO,123.54166666666667,6,2017,3,Summer,199.625,200.87500000000003,243.05681818181816
2017-06-02,ITO,269.69565217391306,6,2017,4,Summer,123.54166666666667,197.62077294685994,240.9743788819876
2017-06-03,ITO,177.6086956521739,6,2017,5,Summer,269.69565217391306,190.2820048309179,224.43633540372667
2017-06-04,ITO,282.4583333333333,6,2017,6,Summer,177.6086956521739,243.25422705314017,227.46609730848863
2017-06-05,ITO,247.1818181818182,6,2017,0,Summer,282.4583333333333,235.74961572244183,225.65278562017693
2017-06-06,ITO,282.0,6,2017,1,Summer,247.1818181818182,270.54671717171726,226.01588085827214
2017-06-07,ITO,170.0,6,2017,2,Summer,282.0,233.0606060606061,221.78373800112928
2017-06-08,ITO,138.3684210526316,6,2017,3,Summer,170.0,196.78947368421055,223.90184577055288
2017-06-09,ITO,214.58333333333334,6,2017,4,Summer,138.3684210526316,174.31725146198835,216.02865736475573
2017-06-10,ITO,99.70833333333333,6,2017,5,Summer,214.58333333333334,150.88669590643278,204.90003417634998
2017-06-11,ITO,120.66666666666667,6,2017,6,Summer,99.70833333333333,144.98611111111114,181.78693893825474
2017-06-12,ITO,96.625,6,2017,0,Summer,120.66666666666667,105.6666666666667,160.27882205513785
2017-06-13,ITO,253.58333333333334,6,2017,1,Summer,96.625,156.95833333333337,156.21929824561406
2017-06-14,ITO,298.9583333333333,6,2017,2,Summer,253.58333333333334,216.3888888888889,174.6419172932331
2017-06-15,ITO,101.91666666666667,6,2017,3,Summer,298.9583333333333,218.15277777777783,169.43452380952382
2017-06-16,ITO,146.54166666666666,6,2017,4,Summer,101.91666666666667,182.47222222222226,159.71428571428572
2017-06-17,ITO,195.45833333333334,6,2017,5,Summer,146.54166666666666,147.97222222222229,173.39285714285714
2017-06-18,ITO,197.75,6,2017,6,Summer,195.45833333333334,179.9166666666667,184.4047619047619
2017-06-19,ITO,365.5416666666667,6,2017,0,Summer,197.75,252.91666666666674,222.82142857142858
2017-06-20,ITO,360.2916666666667,6,2017,1,Summer,365.5416666666667,307.86111111111114,238.0654761904762
2017-06-21,ITO,294.7083333333333,6,2017,2,Summer,360.2916666666667,340.1805555555556,237.45833333333331
2017-06-22,ITO,271.75,6,2017,3,Summer,294.7083333333333,308.91666666666674,261.72023809523813
2017-06-23,ITO,191.70833333333334,6,2017,4,Summer,271.75,252.72222222222229,268.17261904761904
2017-06-24,ITO,185.7826086956522,6,2017,5,Summer,191.70833333333334,216.41364734299523,266.79037267080747
2017-06-25,ITO,147.95833333333334,6,2017,6,Summer,185.7826086956522,175.14975845410638,259.67727743271223
2017-07-01,ITO,214.79166666666666,7,2017,5,Summer,147.95833333333334,182.84420289855078,238.14156314699792
2017-07-02,ITO,190.375,7,2017,6,Summer,214.79166666666666,184.37500000000009,213.8677536231884
2017-07-03,ITO,177.5,7,2017,0,Summer,190.375,194.22222222222229,197.1237060041408
2017-07-04,ITO,120.0,7,2017,1,Summer,177.5,162.62500000000009,175.44513457556937
2017-07-05,ITO,162.70833333333334,7,2017,2,Summer,120.0,153.40277777777786,171.3022774327122
2017-07-06,ITO,129.33333333333334,7,2017,3,Summer,162.70833333333334,137.3472222222223,163.23809523809524
2017-07-07,ITO,175.29166666666666,7,2017,4,Summer,129.33333333333334,155.77777777777786,167.14285714285714
2017-07-08,ITO,154.45833333333334,7,2017,5,Summer,175.29166666666666,153.02777777777786,158.52380952380955
2017-07-09,ITO,129.58333333333334,7,2017,6,Summer,154.45833333333334,153.11111111111117,149.83928571428572
2017-07-10,ITO,92.75,7,2017,0,Summer,129.58333333333334,125.5972222222223,137.73214285714286
2017-07-11,ITO,99.41666666666667,7,2017,1,Summer,92.75,107.25000000000007,134.79166666666669
2017-07-12,ITO,95.5,7,2017,2,Summer,99.41666666666667,95.88888888888897,125.19047619047619
2017-07-13,ITO,113.29166666666667,7,2017,3,Summer,95.5,102.7361111111112,122.89880952380952
2017-07-14,ITO,106.1,7,2017,4,Summer,113.29166666666667,104.96388888888896,113.01428571428572
2017-07-15,ITO,117.05,7,2017,5,Summer,106.1,112.1472222222223,107.67023809523809
2017-07-16,ITO,134.66666666666666,7,2017,6,Summer,117.05,119.27222222222228,108.39642857142859
2017-07-17,ITO,167.08333333333334,7,2017,0,Summer,134.66666666666666,139.60000000000005,119.01547619047619
2017-07-18,ITO,126.125,7,2017,1,Summer,167.08333333333334,142.62500000000009,122.83095238095237
2017-07-19,ITO,89.8125,7,2017,2,Summer,126.125,127.6736111111112,122.01845238095237
